	SNP	Chromosome	Position	trait1	symbol
92	ENSG00000196199	13	20207787	1.23975676387712e-08	MPHOSPH8
93	ENSG00000161036	7	102105375	1.39844100993074e-08	LRWD1
94	ENSG00000032219	14	58765102	1.81661722664668e-08	ARID4A
95	ENSG00000130699	20	60528524	1.82825831280837e-08	TAF4
96	ENSG00000137486	11	74975225	1.8631626926671e-08	ARRB1
97	ENSG00000150907	13	41129803	2.00074880089155e-08	FOXO1
98	ENSG00000140044	14	75894418	2.53880210512698e-08	JDP2
99	ENSG00000100307	22	39516171	2.83912633557165e-08	CBX7
100	ENSG00000141582	17	77806954	3.26453899317768e-08	CBX4
101	ENSG00000130024	6	170104000	4.35010483580847e-08	PHF10
102	ENSG00000198646	20	33284721	5.34408061190864e-08	NCOA6
103	ENSG00000136938	9	100745642	5.77389378444706e-08	ANP32B
104	ENSG00000099956	22	24129149	6.16684805017555e-08	SMARCB1
105	ENSG00000182568	3	18438747	6.16755608038879e-08	SATB1
106	ENSG00000133895	11	64570981	6.45960200153086e-08	MEN1
107	ENSG00000171988	10	64926980	8.27680763695765e-08	JMJD1C
108	ENSG00000130713	9	133569107	8.95142024362462e-08	EXOSC2
109	ENSG00000188976	1	879583	9.32845760858173e-08	NOC2L
110	ENSG00000187531	17	79869814	9.66026418342589e-08	SIRT7
111	ENSG00000177200	16	53088944	9.87865100757875e-08	CHD9
112	ENSG00000178896	8	145133528	1.11221347666453e-07	EXOSC4
113	ENSG00000178279	16	11361604	1.27088406790276e-07	TNP2
114	ENSG00000100749	14	97319224	1.28730605556225e-07	VRK1
115	ENSG00000120539	10	27443752	1.67500121107907e-07	MASTL
116	ENSG00000163872	3	183415605	1.74236471637171e-07	YEATS2
117	ENSG00000135372	11	34127148	1.79468742075825e-07	NAT10
118	ENSG00000157212	7	154735396	2.0921037744214e-07	PAXIP1
119	ENSG00000099860	19	2476119	2.63993721895094e-07	GADD45B
120	ENSG00000139372	12	104359581	2.96752816598528e-07	TDG
121	ENSG00000105393	19	17378158	3.04092124039158e-07	BABAM1
122	ENSG00000141456	17	4574678	3.13025506981072e-07	PELP1
123	ENSG00000079387	12	48436680	3.83598484008605e-07	SENP1
124	ENSG00000143499	1	214454444	4.60330999287105e-07	SMYD2
125	ENSG00000143379	1	150898738	5.03204138791596e-07	SETDB1
126	ENSG00000101126	20	49505584	5.09826892466431e-07	ADNP
127	ENSG00000160633	19	5623045	5.16779860930889e-07	SAFB
128	ENSG00000011332	19	38701645	5.49189926338316e-07	DPF1
129	ENSG00000104472	8	141521396	5.52320132096677e-07	CHRAC1
130	ENSG00000186462	23	72432134	5.83356298736932e-07	NAP1L2
131	ENSG00000112319	6	133561735	7.88702464528727e-07	EYA4
132	ENSG00000111727	12	104458234	8.23645810935745e-07	HCFC2
133	ENSG00000123636	2	160175489	9.59026442068537e-07	BAZ2B
134	ENSG00000100823	14	20923349	9.69404385964818e-07	APEX1
135	ENSG00000163602	3	72420975	1.15239896075833e-06	RYBP
136	ENSG00000163840	3	122283084	1.18126126062862e-06	DTX3L
137	ENSG00000101266	20	459115	1.20102441249221e-06	CSNK2A1
138	ENSG00000196367	7	98476112	1.2798717820582e-06	TRRAP
139	ENSG00000166501	16	23847321	1.30619890499786e-06	PRKCB
140	ENSG00000066117	12	50478754	1.45052427445971e-06	SMARCD1
141	ENSG00000156650	10	76585339	1.45619766046775e-06	KAT6B
142	ENSG00000100387	22	41347350	1.77995921809116e-06	RBX1
143	ENSG00000172273	11	118992296	1.79390116929464e-06	HINFP
144	ENSG00000163635	3	63850232	2.04153280581934e-06	ATXN7
145	ENSG00000136169	13	50018428	2.13011898122992e-06	SETDB2
146	ENSG00000149923	16	30087298	2.41369376159312e-06	PPP4C
147	ENSG00000077463	19	4174105	2.50257413373066e-06	SIRT6
148	ENSG00000272333	19	36208920	2.57402725667608e-06	KMT2B
149	ENSG00000132382	17	4442191	2.6451506497894e-06	MYBBP1A
150	ENSG00000067225	15	72491369	2.7125961181242e-06	PKM
151	ENSG00000147099	23	71549365	2.72322720312087e-06	HDAC8
152	ENSG00000102038	23	128580479	2.80937941409083e-06	SMARCA1
153	ENSG00000162302	11	64126619	2.84005547001491e-06	RPS6KA4
154	ENSG00000166337	11	6627525	2.86002827937904e-06	TAF10
155	ENSG00000005302	23	11776277	3.36548021932553e-06	MSL3
156	ENSG00000140350	15	69070873	3.37331868484373e-06	ANP32A
157	ENSG00000148229	9	116169514	3.64112085182897e-06	POLE3
158	ENSG00000109118	17	27232267	3.70977446406688e-06	PHF12
159	ENSG00000180198	1	28832454	3.7726264491316e-06	RCC1
160	ENSG00000171311	10	99195898	3.91191268428178e-06	EXOSC1
161	ENSG00000127616	19	11071597	3.96881604592396e-06	SMARCA4
162	ENSG00000145241	4	68337520	4.12590350509354e-06	CENPC
163	ENSG00000112238	6	100054605	4.68001617266322e-06	PRDM13
164	ENSG00000105202	19	40325097	5.19051148597133e-06	FBL
165	ENSG00000004487	1	23345940	5.22809012094568e-06	KDM1A
166	ENSG00000255302	15	49170082	5.25492343765076e-06	EID1
167	ENSG00000115548	2	86667769	6.13133417008831e-06	KDM3A
168	ENSG00000079999	19	10596795	7.25671376982419e-06	KEAP1
169	ENSG00000204371	6	31847535	7.33195847387873e-06	EHMT2
170	ENSG00000205581	21	40714240	7.62549279286627e-06	HMGN1
171	ENSG00000187605	2	74273449	8.52854655958393e-06	TET3
172	ENSG00000205683	14	73086003	8.76353224455883e-06	DPF3
173	ENSG00000184828	18	45553043	9.38056986184814e-06	ZBTB7C
174	ENSG00000126012	23	53220502	9.39134446404815e-06	KDM5C
175	ENSG00000181163	5	170814119	9.73748698844721e-06	NPM1
176	ENSG00000117139	1	202696525	1.06523126704803e-05	KDM5B
177	ENSG00000129484	14	20811740	1.08859405387066e-05	PARP2
178	ENSG00000181555	3	47058178	1.13649599213311e-05	SETD2
179	ENSG00000120699	13	37572952	1.21569145004055e-05	EXOSC8
180	ENSG00000136450	17	56080720	1.32696776913098e-05	SRSF1
181	ENSG00000136518	3	179280667	1.42972460607102e-05	ACTL6A
182	ENSG00000152455	10	14920818	1.62120006458285e-05	SUV39H2
183	ENSG00000077684	4	129730778	1.69764570216624e-05	JADE1
184	ENSG00000127337	12	69753482	1.82220717288224e-05	YEATS4
185	ENSG00000253729	8	48685668	1.82609397887344e-05	PRKDC
186	ENSG00000111701	12	7801995	1.90758194242159e-05	APOBEC1
187	ENSG00000107371	9	37766974	1.99378508537342e-05	EXOSC3
189	ENSG00000172977	11	65479466	2.08044756874236e-05	KAT5
190	ENSG00000036257	2	225334866	2.14900768962559e-05	CUL3
191	ENSG00000116560	1	35641978	2.187360954429e-05	SFPQ
192	ENSG00000132600	16	68344876	2.3807795666845e-05	PRMT7
193	ENSG00000061455	5	122424815	2.40850421147279e-05	PRDM6
194	ENSG00000156858	16	30662037	2.63415016143884e-05	PRR14
195	ENSG00000178093	19	19623226	2.65744680236978e-05	TSSK6
196	ENSG00000147050	23	44732756	2.93276403152803e-05	KDM6A
197	ENSG00000166266	11	107879458	2.93728260001929e-05	CUL5
198	ENSG00000130711	9	133539980	3.04621412592148e-05	PRDM12
199	ENSG00000162961	2	32092877	3.49391768906541e-05	DPY30
200	ENSG00000139620	12	49047183	3.66095207480518e-05	KANSL2
201	ENSG00000166313	11	6416354	3.67436439694294e-05	APBB1
202	ENSG00000115274	2	74682149	3.81985528655215e-05	INO80B
203	ENSG00000177485	23	119384606	4.06844730340087e-05	ZBTB33
204	ENSG00000142611	1	2985731	4.16103764292888e-05	PRDM16
205	ENSG00000183576	14	99864082	4.4117729362384e-05	SETD3
206	ENSG00000173011	4	7043625	4.43100342103023e-05	TADA2B
207	ENSG00000049618	6	157099062	4.62600624584568e-05	ARID1B
208	ENSG00000123374	12	56360552	4.76123188621703e-05	CDK2
209	ENSG00000205307	7	100169854	4.95735845019732e-05	SAP25
210	ENSG00000077721	23	118708500	5.07206508722934e-05	UBE2A
211	ENSG00000155363	1	113215762	5.2170215450046e-05	MOV10
212	ENSG00000179750	22	39378351	5.58824365493995e-05	APOBEC3B
213	ENSG00000187778	12	49950326	5.7217187483522e-05	MCRS1
214	ENSG00000135801	1	229728857	6.08671531963822e-05	TAF5L
215	ENSG00000152484	13	27640292	6.17477950030686e-05	USP12
216	ENSG00000154229	17	64298753	6.34024967952595e-05	PRKCA
217	ENSG00000111642	12	6679248	6.82752138438502e-05	CHD4
218	ENSG00000138376	2	215590369	6.92345171695289e-05	BARD1
219	ENSG00000119760	2	27873678	7.96359184037057e-05	SUPT7L
220	ENSG00000178568	2	212240445	8.28846004552802e-05	ERBB4
221	ENSG00000166477	15	52230221	8.65029556370396e-05	LEO1
222	ENSG00000198604	14	35221936	8.70915071473887e-05	BAZ1A
223	ENSG00000124701	6	41021042	9.03016968413926e-05	APOBEC2
224	ENSG00000143799	1	226548391	9.36544756741747e-05	PARP1
225	ENSG00000092201	14	21819630	9.3954311281608e-05	SUPT16H
226	ENSG00000131778	1	146714290	0.000101454255043061	CHD1L
227	ENSG00000074201	11	77325574	0.000105297508186139	CLNS1A
228	ENSG00000143321	1	156711898	0.000107036859467602	HDGF
229	ENSG00000171940	20	52183603	0.000108666244985807	ZNF217
230	ENSG00000109332	4	103715539	0.000109104636009211	UBE2D3
231	ENSG00000182415	24	20137666	0.000112437257144006	CDY2A
232	ENSG00000164924	8	101928752	0.000118402075965504	YWHAZ
233	ENSG00000164576	5	153825516	0.000121461838996509	SAP30L
234	ENSG00000049768	23	49106896	0.000123458966839139	FOXP3
235	ENSG00000121481	1	185014495	0.000126365475192994	RNF2
236	ENSG00000136715	2	128698790	0.000129339441432244	SAP130
237	ENSG00000078487	7	99998475	0.000142263475542993	ZCWPW1
238	ENSG00000120616	10	32556678	0.00014847847335386	EPC1
239	ENSG00000165660	10	126490353	0.000161867175112003	FAM175B
240	ENSG00000105619	19	54610319	0.00016350626634414	TFPT
241	ENSG00000171681	12	14518609	0.000183575072185905	ATF7IP
242	ENSG00000169016	2	11584500	0.000186182751459032	E2F6
243	ENSG00000143258	1	161129239	0.000186491883681368	USP21
245	ENSG00000205531	11	2965666	0.000202267814031194	NAP1L4
246	ENSG00000140382	15	77712753	0.000211525815311094	HMG20A
247	ENSG00000204209	6	33289162	0.000235055769996248	DAXX
248	ENSG00000196591	6	114277792	0.000236617142759172	HDAC2
249	ENSG00000177565	3	176737142	0.000236789091530261	TBL1XR1
250	ENSG00000135999	2	149402008	0.000245548279352358	EPC2
251	ENSG00000138738	4	121613069	0.000252160454917835	PRDM5
252	ENSG00000143373	1	151254093	0.000261136434438676	ZNF687
253	ENSG00000169592	16	30006614	0.000265806681030776	INO80E
254	ENSG00000065717	19	2997635	0.000271476746060549	TLE2
255	ENSG00000198176	13	114239055	0.000278583731699068	TFDP1
256	ENSG00000100784	14	91336798	0.000281334548430356	RPS6KA5
257	ENSG00000115053	2	232318241	0.000283215019816294	NCL
258	ENSG00000162409	1	57110994	0.000285475940601705	PRKAA2
259	ENSG00000127483	1	21069153	0.000315379282798958	HP1BP3
260	ENSG00000151332	14	36767769	0.000318215864720623	MBIP
261	ENSG00000106617	7	151253196	0.000326467572567114	PRKAG2
262	ENSG00000159692	4	1205235	0.000334625773866805	CTBP1
263	ENSG00000119638	14	75548821	0.000353255638027614	NEK9
264	ENSG00000083544	13	60970590	0.000374031289840597	TDRD3
265	ENSG00000077097	3	25639476	0.000441019528552459	TOP2B
266	ENSG00000121067	17	47676245	0.000454706071225085	SPOP
267	ENSG00000171316	8	61591336	0.000454912523828408	CHD7
268	ENSG00000204406	2	148778579	0.000466674852590637	MBD5
269	ENSG00000172534	23	153213003	0.00047083315011744	HCFC1
270	ENSG00000198730	11	10772533	0.000479076846937178	CTR9
271	ENSG00000156860	16	30669751	0.000582149316982575	FBRS
272	ENSG00000165288	23	79926352	0.000590688918595485	BRWD3
273	ENSG00000119048	5	133706869	0.000597956762090445	UBE2B
274	ENSG00000064961	19	3572774	0.000626649780347144	HMG20B
275	ENSG00000112787	12	133066136	0.000633321685977661	FBRSL1
276	ENSG00000188895	17	38278550	0.000647711533650841	MSL1
277	ENSG00000160679	1	153606524	0.0006600715302134	CHTOP
278	ENSG00000119772	2	25455844	0.000683589634098516	DNMT3A
279	ENSG00000177889	12	93799448	0.000704046234040505	UBE2N
280	ENSG00000108799	17	40852292	0.00074700738879646	EZH1
281	ENSG00000129691	8	37962759	0.000769023550150384	ASH2L
282	ENSG00000103037	16	58549382	0.000769546526637497	SETD6
283	ENSG00000182134	1	151742582	0.000799920391047474	TDRKH
284	ENSG00000108604	17	61909443	0.000805578519330487	SMARCD2
285	ENSG00000178966	9	86595625	0.000873345554823103	RMI1
286	ENSG00000185420	1	245912641	0.000943417105640848	SMYD3
287	ENSG00000165702	9	135820931	0.00103076499106836	GFI1B
288	ENSG00000134852	4	56294069	0.00103664620988377	CLOCK
289	ENSG00000136891	9	103064358	0.00106333239345728	TEX10
290	ENSG00000159339	1	17634689	0.00106931438450109	PADI4
291	ENSG00000120837	12	104510854	0.001302533429692	NFYB
292	ENSG00000157259	7	92076766	0.00130954374778056	GATAD1
293	ENSG00000095787	10	28821421	0.00136387458099776	WAC
294	ENSG00000165156	8	124260695	0.00136573487279871	ZHX1
295	ENSG00000178691	17	30264036	0.00145238239374708	SUZ12
296	ENSG00000008324	3	42623331	0.00145399532411826	SS18L2
297	ENSG00000108468	17	46147413	0.00160711242328214	CBX1
298	ENSG00000163322	4	84390176	0.00171510348744833	FAM175A
299	ENSG00000142619	1	17575592	0.00174728780825045	PADI3
300	ENSG00000068024	2	239969863	0.001848322194357	HDAC4
301	ENSG00000101493	18	74069643	0.00185063526795136	ZNF516
302	ENSG00000185619	4	699536	0.00189647770852562	PCGF3
303	ENSG00000137948	1	92414927	0.00191383085478269	BRDT
304	ENSG00000115592	2	219687105	0.00215527173214741	PRKAG3
305	ENSG00000133884	11	65101224	0.00224736478155483	DPF2
306	ENSG00000138375	2	217277136	0.0023048900026729	SMARCAL1
307	ENSG00000250506	17	73996986	0.00249719535208144	CDK3
308	ENSG00000101040	20	45837858	0.00266597572309857	ZMYND8
309	ENSG00000106290	7	99704692	0.00275349386521707	TAF6
310	ENSG00000100393	22	41487789	0.00281392474831056	EP300
311	ENSG00000123562	23	102930423	0.00286468086245897	MORF4L2
312	ENSG00000125484	9	135545421	0.0029494203130552	GTF3C4
313	ENSG00000080603	16	30709529	0.00297546503059026	SRCAP
314	ENSG00000116455	1	111982511	0.00325343566754943	WDR77
315	ENSG00000165632	10	7860466	0.00347346384124607	TAF3
316	ENSG00000152784	4	81105032	0.0035025191799901	PRDM8
317	ENSG00000124151	20	46130600	0.00351516432731404	NCOA3
318	ENSG00000122966	12	120123594	0.0035533366387093	CIT
319	ENSG00000071655	19	1576638	0.00379862455326086	MBD3
320	ENSG00000099954	22	17840836	0.00421322004802739	CECR2
321	ENSG00000101109	20	43595114	0.0043501994539571	STK4
322	ENSG00000142453	19	10982188	0.00456498403984493	CARM1
323	ENSG00000185658	21	40556101	0.00459369722738339	BRWD1
324	ENSG00000185787	15	79102828	0.00459817072884602	MORF4L1
325	ENSG00000141510	17	7565096	0.00460157164258279	TP53
326	ENSG00000148835	10	105127723	0.00489725903798665	TAF5
327	ENSG00000183741	22	39257454	0.00491751846941245	CBX6
328	ENSG00000173473	3	47626761	0.00495231464383659	SMARCC1
329	ENSG00000019485	11	45115563	0.00504564714091207	PRDM11
330	ENSG00000180370	3	196466727	0.00506125456209572	PAK2
331	ENSG00000094916	12	54624723	0.00511963802332085	CBX5
332	ENSG00000175054	3	142168078	0.00515889876605854	ATR
333	ENSG00000087152	17	42269172	0.0053306426101972	ATXN7L3
334	ENSG00000089094	12	121866899	0.00577887184302566	KDM2B
335	ENSG00000108840	17	42154113	0.00590973570925234	HDAC5
336	ENSG00000141867	19	15347646	0.00595560641317658	BRD4
337	ENSG00000172530	16	87985037	0.00634804072369333	BANP
338	ENSG00000164091	3	52288436	0.00647352924969751	WDR82
339	ENSG00000113558	5	133484632	0.00667665284587162	SKP1
340	ENSG00000132510	17	7743221	0.0068695280558075	KDM6B
341	ENSG00000168137	3	9439298	0.0069170812010931	SETD5
342	ENSG00000153046	6	4706392	0.00750017655229314	CDYL
343	ENSG00000137166	6	41514163	0.00782808627934975	FOXP4
344	ENSG00000148204	9	126118448	0.00835279852352461	CRB2
345	ENSG00000140632	16	4853203	0.00846381073727546	GLYR1
346	ENSG00000116539	1	155305058	0.00848775062671469	ASH1L
347	ENSG00000140396	8	71021996	0.00876164385212751	NCOA2
348	ENSG00000197323	1	114935398	0.00968336212620108	TRIM33
350	ENSG00000198879	10	7200585	0.010608944320057	SFMBT2
351	ENSG00000145391	4	140454384	0.0106922518762567	SETD7
352	ENSG00000132356	5	40759480	0.0111171774081351	PRKAA1
353	ENSG00000164105	4	174291119	0.011143316453387	SAP30
354	ENSG00000116717	1	68150743	0.0119177835893509	GADD45A
355	ENSG00000055609	7	151832009	0.0120139594205483	KMT2C
356	ENSG00000008083	6	15246526	0.0125559418122761	JARID2
357	ENSG00000140320	15	40731919	0.0126139394470245	BAHD1
358	ENSG00000162971	2	200794697	0.0131513739900167	TYW5
359	ENSG00000103549	16	30773065	0.0134649527871068	RNF40
360	ENSG00000104320	8	90945563	0.0135636869969488	NBN
361	ENSG00000048649	11	77371040	0.0136119647237282	RSF1
362	ENSG00000112983	5	137475454	0.0136644665469183	BRD8
363	ENSG00000065526	1	16174358	0.013818674226635	SPEN
364	ENSG00000161956	17	7465191	0.0138461641141867	SENP3
365	ENSG00000143033	1	93544791	0.0139115766284069	MTF2
366	ENSG00000096070	6	36164520	0.0139985920673248	BRPF3
367	ENSG00000100298	22	39493228	0.0143382709957276	APOBEC3H
368	ENSG00000078403	10	21823101	0.0144510733451503	MLLT10
369	ENSG00000085224	23	76760355	0.0145080191139629	ATRX
370	ENSG00000108557	17	17584786	0.0148110432111453	RAI1
371	ENSG00000119403	9	123617976	0.0148350704010015	PHF19
372	ENSG00000083168	8	41786996	0.017566441336138	KAT6A
373	ENSG00000142623	1	17531620	0.0193051578907345	PADI1
374	ENSG00000162521	1	33116742	0.0193684976807627	RBBP4
375	ENSG00000173120	11	66886739	0.0197658766255919	KDM2A
376	ENSG00000116254	1	6161852	0.0204867508690473	CHD5
377	ENSG00000129071	3	129149786	0.0207042201940881	MBD4
378	ENSG00000129292	8	133787617	0.0209406787458223	PHF20L1
379	ENSG00000064313	8	120743014	0.0216822117854564	TAF2
380	ENSG00000155666	16	27214806	0.0218648868303018	KDM8
381	ENSG00000117115	1	17393255	0.0226597201541271	PADI2
382	ENSG00000115966	2	175936977	0.0227270218708565	ATF2
383	ENSG00000147162	23	70752932	0.0238951366155252	OGT
384	ENSG00000100462	14	23389719	0.0240310423511053	PRMT5
385	ENSG00000116062	2	47922954	0.0249452246164125	MSH6
386	ENSG00000147596	8	70963885	0.0250992427203503	PRDM14
387	ENSG00000164256	5	23507263	0.02513510436265	PRDM9
388	ENSG00000116478	1	32757686	0.0255523120040784	HDAC1
389	ENSG00000082014	7	150935849	0.0256454189366817	SMARCD3
390	ENSG00000158290	23	119658463	0.0256800839562231	CUL4B
391	ENSG00000183495	12	132434507	0.0258534109941198	EP400
392	ENSG00000064655	20	45523262	0.0263494301592809	EYA2
393	ENSG00000106400	7	100860948	0.026447525387673	ZNHIT1
394	ENSG00000108953	17	1247565	0.0266259083662206	YWHAE
395	ENSG00000005483	7	104654625	0.0273877235727128	KMT2E
396	ENSG00000133627	7	152456833	0.0275428812812826	ACTR3B
397	ENSG00000171456	20	30946154	0.0278622559306761	ASXL1
398	ENSG00000055483	17	76783548	0.0282200892538347	USP36
399	ENSG00000166164	16	50347397	0.0291725084279344	BRD7
400	ENSG00000104885	19	2164147	0.0292141519109687	DOT1L
401	ENSG00000120656	1	28929361	0.0306061173889858	TAF12
402	ENSG00000149311	11	108093210	0.0307841434711807	ATM
403	ENSG00000186591	7	129470571	0.0312175992438264	UBE2H
404	ENSG00000100916	14	36295523	0.0317284827753069	BRMS1L
405	ENSG00000120533	8	110346552	0.0329825132343203	ENY2
406	ENSG00000135341	6	91223291	0.0354658430880533	MAP3K7
407	ENSG00000164663	6	41757633	0.0377660016304527	USP49
408	ENSG00000071243	7	120590802	0.0378978418843147	ING3
409	ENSG00000111875	6	119215383	0.0380745928050813	ASF1A
410	ENSG00000170364	3	4344987	0.0387915415941732	SETMAR
411	ENSG00000198919	3	108308528	0.0407338992372815	DZIP3
412	ENSG00000104517	8	103265239	0.0418137138581645	UBR5
413	ENSG00000119778	2	23971533	0.0424151664938896	ATAD2B
414	ENSG00000006459	7	139784545	0.0449072203675623	KDM7A
415	ENSG00000137337	6	30667583	0.0451465524240431	MDC1
416	ENSG00000118156	19	48023941	0.0451852837435119	ZNF541
417	ENSG00000165732	10	70715883	0.0462960569913738	DDX21
418	ENSG00000171720	5	141000442	0.0478317043476872	HDAC3
419	ENSG00000114861	3	71003843	0.0480573729120473	FOXP1
420	ENSG00000131791	1	146626684	0.0487904095494732	PRKAB2
421	ENSG00000189079	12	46123447	0.0508540196680068	ARID2
422	ENSG00000134574	11	47236492	0.0519231495429008	DDB2
423	ENSG00000196498	12	124808960	0.0562573782834911	NCOR2
424	ENSG00000076108	12	56989379	0.0566555971588103	BAZ2A
425	ENSG00000124795	6	18224098	0.0579253713472072	DEK
426	ENSG00000186280	11	94706844	0.0580616752153852	KDM4D
427	ENSG00000118900	16	4896665	0.0581764416584032	UBN1
428	ENSG00000166349	11	36537013	0.058816902169917	RAG1
429	ENSG00000204389	6	31783290	0.0592055835795325	HSPA1A
430	ENSG00000111218	12	3490514	0.0628467634725059	PRMT8
431	ENSG00000143401	1	150190716	0.0658813210696871	ANP32E
